
wsk001
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Karen.Wastell
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	aaliyah.khalpey
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	marek.kulik.adm
 Dir	         0 bytes	michelle.lumley
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	rebecca.walton
 Dir	         0 bytes	robert.osborne
 Dir	         0 bytes	stephan.hildige
 Dir	         0 bytes	stephan.hildige.adm

wsk000
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	marek.kulik
 Dir	         0 bytes	marek.kulik.adm
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	stephan.hildige

wsk005
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	K.Crosby-Bennin.adm
 Dir	         0 bytes	Matthew.pellatt-shan
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	alice.wilson
 Dir	         0 bytes	angela.flory
 Dir	         0 bytes	carol.robbins
 Dir	         0 bytes	christine.harland
 Dir	         0 bytes	claire.chaplin
 Dir	         0 bytes	debra.stansfield
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	e.stansfield
 Dir	         0 bytes	emma.topham
 Dir	         0 bytes	evelyn.bateta
 Dir	         0 bytes	frances.peake
 Dir	         0 bytes	gemma.steel
 Dir	         0 bytes	godunlami
 Dir	         0 bytes	j.humphrey
 Dir	         0 bytes	jade.stevens
 Dir	         0 bytes	jan.maytum
 Dir	         0 bytes	jane.elliott
 Dir	         0 bytes	jeanette.smith
 Dir	         0 bytes	kenneth.carter
 Dir	         0 bytes	lesley.dunn
 Dir	         0 bytes	linda.gupwell
 Dir	         0 bytes	mobusar.raja.adm
 Dir	         0 bytes	rachel.pritchard
 Dir	         0 bytes	sam.austin
 Dir	         0 bytes	shaun.dunmall.adm
 Dir	         0 bytes	tania.dosoruth
